GrLivArea,SalePrice,MSSubClass,MSZoning,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,1stFlrSF,2ndFlrSF,LowQualFinSF,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,GarageType,GarageFinish,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,MoSold,YrSold
1400,149500,60,RL,7844,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,2Story,6,7,1978,1978,Hip,CompShg,HdBoard,HdBoard,BrkFace,203.0,3,3,CBlock,3,3,1,5,209.0,1,0.0,463.0,672.0,GasA,3,Y,672,728,0,0.0,0.0,1,1,3,1,3,6,1,Attchd,3,2.0,440.0,0,0,0,0,0,3,2006
1720,183500,60,RL,8244,Pave,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4,3,1,1,0.0,1,0.0,840.0,840.0,GasA,5,Y,840,880,0,0.0,0.0,2,1,3,1,4,7,1,Attchd,3,2.0,440.0,100,48,0,0,0,5,2007
1440,224500,90,RL,9069,Pave,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,Duplex,SFoyer,6,8,1993,1993,Gable,CompShg,HdBoard,HdBoard,None,0.0,4,4,PConc,4,3,3,2,261.0,6,1083.0,0.0,1344.0,GasA,4,Y,1440,0,0,2.0,0.0,2,0,2,2,4,8,0,Attchd,1,4.0,920.0,288,0,0,0,0,4,2006
1868,415000,20,RL,14780,Pave,IR1,HLS,AllPub,Corner,Mod,NridgHt,Norm,Norm,1Fam,1Story,9,5,2005,2005,Hip,CompShg,VinylSd,VinylSd,BrkFace,568.0,5,3,PConc,5,3,4,6,1505.0,1,0.0,363.0,1868.0,GasA,5,Y,1868,0,0,1.0,0.0,2,0,2,1,5,7,1,Attchd,3,3.0,1085.0,354,56,0,0,156,6,2006
990,155000,20,RL,9750,Pave,Reg,Low,AllPub,Inside,Mod,CollgCr,Norm,Norm,1Fam,1Story,5,7,1994,1994,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,4,3,1,6,722.0,1,0.0,268.0,990.0,GasA,5,Y,990,0,0,1.0,0.0,1,0,3,1,3,5,0,Detchd,1,2.0,528.0,168,0,0,0,0,8,2008
1271,135000,50,RL,21286,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1.5Fin,5,5,1948,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3,3,1,1,0.0,1,0.0,720.0,720.0,GasA,3,Y,720,551,0,0.0,0.0,2,0,4,1,3,7,1,Attchd,1,1.0,312.0,0,0,108,0,0,8,2008
1646,164000,75,RL,7128,Pave,Reg,Lvl,AllPub,Inside,Gtl,Crawfor,Norm,Norm,1Fam,2.5Unf,7,5,1941,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,4,CBlock,3,3,1,3,364.0,1,0.0,554.0,918.0,GasA,4,Y,918,728,0,0.0,0.0,2,0,4,1,3,7,2,Detchd,1,1.0,240.0,0,0,0,0,126,8,2007
952,128500,20,RL,8300,Pave,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,6,1968,1968,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,86.0,3,3,CBlock,3,3,2,3,952.0,1,0.0,0.0,952.0,GasA,4,Y,952,0,0,1.0,0.0,1,0,3,1,3,5,0,Attchd,1,1.0,288.0,0,0,0,0,0,8,2007
1720,196500,60,RL,11645,Pave,IR1,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4,3,1,1,0.0,1,0.0,860.0,860.0,GasA,5,Y,860,860,0,0.0,0.0,2,1,3,1,4,7,0,Attchd,2,2.0,565.0,0,70,0,0,0,8,2006
1218,131000,50,RM,6000,Pave,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,6,6,1941,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,4,BrkTil,3,4,1,5,375.0,1,0.0,360.0,735.0,GasA,5,Y,869,349,0,0.0,1.0,1,0,3,1,3,6,1,Detchd,1,2.0,440.0,0,0,0,0,0,3,2007
1217,151000,120,RL,7175,Pave,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,TwnhsE,1Story,6,5,1991,1991,Gable,CompShg,Plywood,Plywood,None,0.0,4,3,PConc,4,3,1,6,278.0,1,0.0,939.0,1217.0,GasA,4,Y,1217,0,0,0.0,0.0,2,0,2,1,4,5,0,Attchd,2,2.0,484.0,0,64,0,0,0,6,2006
1293,149900,20,RL,11027,Pave,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1954,1954,Hip,CompShg,Wd Sdng,Wd Sdng,Stone,28.0,3,3,CBlock,3,3,1,4,468.0,3,539.0,171.0,1178.0,GasA,4,Y,1293,0,0,1.0,0.0,2,0,2,1,3,5,0,Attchd,2,2.0,452.0,280,0,0,0,0,5,2006
1428,139900,70,RM,6451,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,7,7,1900,1970,Gable,CompShg,AsbShng,Wd Sdng,None,0.0,3,3,Stone,3,3,1,3,208.0,1,0.0,504.0,712.0,GasA,4,Y,848,580,0,1.0,0.0,1,0,4,1,3,7,0,Detchd,3,2.0,576.0,264,0,84,0,0,5,2006
1714,180000,60,RL,8637,Pave,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,1999,2000,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,4,3,1,5,871.0,1,0.0,52.0,923.0,GasA,4,Y,947,767,0,1.0,0.0,2,1,3,1,3,7,1,Attchd,3,2.0,451.0,256,48,0,0,0,4,2007
894,120750,20,RL,6285,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1977,1977,Gable,CompShg,Plywood,Plywood,None,0.0,3,3,CBlock,4,3,1,2,138.0,3,351.0,405.0,894.0,GasA,3,Y,894,0,0,1.0,0.0,1,0,2,1,3,5,0,Detchd,1,1.0,308.0,192,0,0,0,0,3,2007
1246,154000,20,RL,7500,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1959,1994,Hip,CompShg,BrkFace,BrkFace,None,0.0,3,3,CBlock,3,3,1,2,340.0,3,906.0,0.0,1246.0,GasA,5,Y,1246,0,0,1.0,0.0,1,1,3,1,4,6,0,Attchd,2,1.0,305.0,218,0,0,0,0,5,2010
1422,139900,20,RL,12342,Pave,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1960,1978,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3,3,1,1,0.0,1,0.0,978.0,978.0,GasA,3,Y,1422,0,0,0.0,0.0,1,0,3,1,3,6,1,Attchd,2,1.0,286.0,0,0,36,0,0,8,2007
1764,100000,20,RL,8838,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,3,1957,1982,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,BrkTil,0,0,0,0,0.0,0,0.0,0.0,0.0,GasA,4,Y,1764,0,0,0.0,0.0,2,1,4,1,3,7,1,Attchd,3,1.0,301.0,0,72,0,0,0,10,2008
2358,240000,50,RL,45600,Pave,IR2,Bnk,AllPub,Inside,Gtl,ClearCr,Norm,Norm,1Fam,1.5Fin,6,8,1908,1997,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,BrkTil,3,3,1,1,0.0,1,0.0,907.0,907.0,GasA,3,Y,1307,1051,0,0.0,0.0,3,0,5,1,3,10,1,Detchd,1,2.0,360.0,486,40,0,0,175,9,2008
1127,135000,20,RL,6500,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,6,6,1976,1976,Hip,CompShg,HdBoard,Plywood,BrkFace,84.0,3,3,CBlock,3,5,1,4,1033.0,1,0.0,94.0,1127.0,GasA,3,Y,1127,0,0,0.0,1.0,1,1,3,1,3,6,1,Detchd,1,2.0,480.0,0,0,138,0,0,5,2008
1484,174000,60,RL,12589,Pave,IR2,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4,3,1,1,0.0,1,0.0,742.0,742.0,GasA,5,Y,742,742,0,0.0,0.0,2,1,3,1,4,8,1,Attchd,3,2.0,390.0,36,24,0,0,0,6,2009
2018,378500,20,RL,13214,Pave,IR1,HLS,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,9,5,2008,2009,Hip,CompShg,Stucco,CmentBd,None,0.0,5,3,PConc,5,3,4,1,0.0,1,0.0,2002.0,2002.0,GasA,5,Y,2018,0,0,0.0,0.0,2,0,3,1,5,10,1,Attchd,3,3.0,746.0,144,76,0,0,0,5,2010
1362,207000,120,RL,6289,Pave,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,6,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,Stone,256.0,4,3,PConc,4,3,3,5,762.0,1,0.0,600.0,1362.0,GasA,5,Y,1362,0,0,1.0,0.0,2,0,2,1,4,6,1,Attchd,2,2.0,460.0,192,28,0,0,0,6,2007
1465,131000,50,RL,10164,Pave,Reg,Bnk,AllPub,Inside,Gtl,SWISU,Norm,Norm,1Fam,1.5Fin,5,5,1939,1950,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,CBlock,3,2,3,2,646.0,1,0.0,346.0,992.0,GasA,2,Y,992,473,0,0.0,0.0,2,0,3,1,3,6,2,Detchd,1,1.0,240.0,0,126,0,0,0,7,2006
1236,152000,160,FV,2544,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,Twnhs,2Story,6,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,BrkFace,216.0,4,3,PConc,4,3,1,6,376.0,1,0.0,224.0,600.0,GasA,5,Y,600,636,0,1.0,0.0,2,1,2,1,4,4,0,Detchd,2,2.0,480.0,0,166,0,0,0,5,2010
1152,61500,90,RL,6882,Pave,Reg,Lvl,AllPub,Corner,Gtl,Edwards,Norm,Norm,Duplex,1Story,4,3,1955,1955,Gable,CompShg,AsbShng,Plywood,BrkCmn,128.0,3,3,PConc,0,0,0,0,0.0,0,0.0,0.0,0.0,GasA,3,N,1152,0,0,0.0,0.0,2,0,2,2,2,6,0,0,0,0.0,0.0,0,0,0,0,0,9,2007
1080,147110,160,FV,2403,Pave,IR1,Lvl,AllPub,FR2,Gtl,Somerst,Norm,Norm,TwnhsE,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4,3,1,6,244.0,1,0.0,286.0,530.0,GasA,5,Y,530,550,0,0.0,0.0,2,1,2,1,4,4,0,Attchd,2,2.0,496.0,0,50,0,0,0,6,2010
1551,137000,50,RL,10890,Pave,Reg,Lvl,AllPub,Inside,Gtl,SWISU,Norm,Norm,1Fam,1.5Fin,5,5,1938,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,BrkTil,2,3,1,2,930.0,1,0.0,128.0,1058.0,GasA,3,Y,1058,493,0,1.0,0.0,2,0,3,1,2,6,0,Detchd,1,1.0,240.0,0,0,0,0,0,7,2006
1382,128500,50,RM,12358,Pave,IR1,Lvl,AllPub,Inside,Gtl,OldTown,Feedr,Norm,1Fam,1.5Fin,5,6,1941,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,CBlock,3,3,1,3,360.0,1,0.0,360.0,720.0,GasA,3,Y,854,0,528,0.0,0.0,1,1,2,1,3,7,0,Detchd,1,2.0,660.0,237,0,0,0,0,5,2007
1600,207500,20,RL,16321,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1957,1997,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,CBlock,3,3,4,4,1277.0,1,0.0,207.0,1484.0,GasA,3,Y,1600,0,0,1.0,0.0,1,0,2,1,3,6,2,Attchd,2,1.0,319.0,288,258,0,0,0,12,2006
1683,172500,60,RL,11184,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,2Story,6,5,1978,1978,Hip,CompShg,HdBoard,HdBoard,BrkFace,92.0,3,3,CBlock,3,3,1,2,226.0,3,500.0,192.0,918.0,GasA,4,Y,918,765,0,0.0,0.0,2,1,3,1,3,7,1,Attchd,2,2.0,440.0,243,0,0,0,0,7,2009
2643,380000,60,RL,13693,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,2006,2006,Hip,CompShg,VinylSd,VinylSd,BrkFace,772.0,5,3,PConc,4,3,3,1,0.0,1,0.0,2153.0,2153.0,GasA,5,Y,2069,574,0,0.0,0.0,2,1,3,1,5,9,1,BuiltIn,3,3.0,694.0,414,84,0,0,0,3,2007
1043,137000,20,RL,9724,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1947,1950,Hip,CompShg,BrkFace,BrkFace,None,0.0,3,3,CBlock,3,3,1,1,0.0,1,0.0,938.0,938.0,GasA,5,Y,1043,0,0,0.0,0.0,1,0,2,1,3,5,1,Detchd,1,1.0,273.0,125,48,0,0,0,5,2006
810,130000,85,RL,10820,Pave,Reg,Lvl,AllPub,Corner,Gtl,Sawyer,Feedr,Norm,1Fam,SFoyer,5,7,1971,1972,Gable,CompShg,HdBoard,HdBoard,BrkFace,153.0,3,3,PConc,4,3,3,6,535.0,3,159.0,88.0,782.0,GasA,5,Y,810,0,0,1.0,0.0,1,0,2,1,3,4,0,Detchd,1,2.0,576.0,0,0,0,0,0,6,2006
1961,215000,60,RL,12209,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Mitchel,Norm,Norm,1Fam,2Story,6,5,2001,2002,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,5,3,1,5,690.0,1,0.0,114.0,804.0,GasA,5,Y,804,1157,0,1.0,0.0,2,1,3,1,4,7,1,BuiltIn,3,2.0,560.0,125,192,0,0,0,6,2009
1118,153000,20,RL,11332,Pave,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1960,2000,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3,3,1,4,528.0,1,0.0,590.0,1118.0,GasA,5,Y,1118,0,0,1.0,0.0,1,0,3,1,4,6,0,Attchd,2,1.0,264.0,290,0,0,0,0,8,2008
1842,385000,20,RL,50271,Pave,IR1,Low,AllPub,Inside,Gtl,Veenker,Norm,Norm,1Fam,1Story,9,5,1981,1987,Gable,WdShngl,WdShing,Wd Shng,None,0.0,4,3,CBlock,5,3,4,6,1810.0,1,0.0,32.0,1842.0,GasA,4,Y,1842,0,0,2.0,0.0,0,1,0,1,4,5,1,Attchd,3,3.0,894.0,857,72,0,0,0,11,2006
1709,130000,160,RM,2522,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,Twnhs,2Story,6,5,2004,2006,Gable,CompShg,VinylSd,VinylSd,Stone,50.0,4,3,PConc,4,3,1,1,0.0,1,0.0,970.0,970.0,GasA,5,Y,970,739,0,0.0,0.0,2,0,3,1,4,7,0,Detchd,1,2.0,380.0,0,40,0,0,0,4,2006
1252,127000,50,RL,7438,Pave,IR1,Lvl,AllPub,Inside,Gtl,BrkSide,RRAn,Feedr,1Fam,1.5Fin,5,8,1908,1991,Gable,CompShg,AsbShng,Plywood,None,0.0,3,3,PConc,2,3,1,1,0.0,1,0.0,504.0,504.0,GasA,4,Y,936,316,0,0.0,0.0,1,0,3,1,3,5,0,Attchd,1,2.0,576.0,104,0,0,0,0,6,2006
1959,270000,60,FV,9000,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,8,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4,3,3,1,0.0,1,0.0,1088.0,1088.0,GasA,5,Y,1088,871,0,0.0,0.0,2,1,3,1,4,8,1,Attchd,2,3.0,1025.0,208,46,0,0,0,12,2007
1092,141000,20,RL,14850,Pave,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1957,1957,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3,3,1,3,895.0,1,0.0,197.0,1092.0,GasA,3,Y,1092,0,0,1.0,0.0,1,0,2,1,3,6,1,Attchd,3,1.0,299.0,268,0,0,0,122,5,2006
2064,235000,20,RL,18559,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,NWAmes,Norm,Norm,1Fam,1Story,7,5,1978,1978,Hip,CompShg,Plywood,Plywood,BrkFace,383.0,4,4,CBlock,4,3,1,6,1206.0,3,186.0,656.0,2048.0,GasA,3,Y,2064,0,0,1.0,0.0,2,0,3,1,4,7,2,Attchd,3,2.0,550.0,200,0,0,0,0,8,2008
2640,256900,60,RL,10400,Pave,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,PosA,Norm,1Fam,2Story,6,7,1967,1997,Gable,CompShg,MetalSd,MetalSd,BrkFace,256.0,3,3,PConc,3,3,1,1,0.0,1,0.0,932.0,932.0,GasA,4,Y,1271,1369,0,0.0,0.0,2,1,5,1,4,8,1,Attchd,2,2.0,515.0,0,120,0,0,168,5,2009
1866,336860,120,RL,10110,Pave,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2008,2008,Hip,CompShg,MetalSd,MetalSd,BrkFace,492.0,5,3,PConc,4,3,1,6,372.0,1,0.0,1486.0,1858.0,GasA,5,Y,1866,0,0,1.0,0.0,2,0,2,1,5,7,1,Attchd,3,3.0,870.0,0,48,0,0,0,11,2008
2036,375000,20,RL,215245,Pave,IR3,Low,AllPub,Inside,Sev,Timber,Norm,Norm,1Fam,1Story,7,5,1965,1965,Hip,CompShg,BrkFace,BrkFace,None,0.0,3,3,CBlock,4,3,4,5,1236.0,3,820.0,80.0,2136.0,GasW,3,Y,2036,0,0,2.0,0.0,2,0,3,1,3,8,2,Attchd,2,2.0,513.0,0,0,0,0,0,6,2009
1375,141000,50,RM,9000,Pave,Reg,Bnk,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Fin,6,6,1937,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,4,PConc,3,3,1,1,0.0,1,0.0,780.0,780.0,GasA,3,Y,780,595,0,0.0,0.0,1,1,3,1,4,6,1,Detchd,1,1.0,544.0,0,162,0,0,126,12,2007
1116,160000,20,RL,10000,Pave,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,6,1962,1962,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,261.0,3,3,CBlock,3,3,1,1,0.0,1,0.0,1116.0,1116.0,GasA,3,Y,1116,0,0,0.0,0.0,1,1,3,1,3,5,0,Attchd,1,2.0,440.0,0,0,0,0,385,2,2010
1428,182000,20,FV,11639,Pave,Reg,Lvl,AllPub,Corner,Gtl,Somerst,Norm,Norm,1Fam,1Story,7,5,2007,2008,Gable,CompShg,CemntBd,CmentBd,None,99.3082618862042,4,3,PConc,4,3,1,1,0.0,1,0.0,1428.0,1428.0,GasA,5,Y,1428,0,0,0.0,0.0,2,0,3,1,4,6,0,Attchd,3,2.0,480.0,0,120,0,0,0,12,2008
2259,217000,20,RL,21000,Pave,Reg,Bnk,AllPub,Corner,Gtl,Crawfor,Norm,Norm,1Fam,1Story,6,5,1953,1953,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,184.0,3,4,CBlock,4,3,2,5,35.0,3,869.0,905.0,1809.0,GasA,3,Y,2259,0,0,1.0,0.0,2,0,3,1,4,7,2,Basment,1,2.0,450.0,166,120,192,0,0,10,2007
1675,195000,20,RL,7915,Pave,IR1,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,6,5,1999,2000,Hip,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,5,3,2,6,1223.0,1,0.0,443.0,1666.0,GasA,5,Y,1675,0,0,1.0,0.0,2,0,3,1,4,6,0,Attchd,2,2.0,435.0,165,52,0,0,0,12,2008
1636,255000,20,RL,13501,Pave,IR1,Lvl,AllPub,Corner,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,Stone,208.0,4,3,PConc,4,3,1,6,63.0,1,0.0,1560.0,1623.0,GasA,5,Y,1636,0,0,1.0,0.0,2,0,3,1,4,8,1,Attchd,2,3.0,865.0,0,60,0,0,0,6,2007
1474,168500,80,RL,8530,Pave,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,SLvl,7,5,1995,1996,Gable,CompShg,HdBoard,HdBoard,BrkFace,22.0,3,3,PConc,4,3,1,1,0.0,1,0.0,384.0,384.0,GasA,4,Y,804,670,0,0.0,0.0,2,1,3,1,3,7,1,BuiltIn,3,2.0,400.0,120,72,0,0,0,5,2009
1216,118500,50,RL,8480,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1.5Fin,5,5,1947,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,CBlock,3,3,1,3,442.0,1,0.0,390.0,832.0,GasA,3,Y,832,384,0,0.0,0.0,1,0,2,1,3,6,0,Detchd,1,1.0,336.0,158,0,102,0,0,10,2008
1078,149900,20,RL,12537,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1971,2008,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,CBlock,3,3,1,6,734.0,1,0.0,344.0,1078.0,GasA,5,Y,1078,0,0,1.0,0.0,1,1,3,1,3,6,1,Attchd,3,2.0,500.0,0,0,0,0,0,4,2010
988,119000,20,RL,7200,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1950,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,CBlock,3,3,1,4,534.0,3,96.0,246.0,876.0,GasA,3,Y,988,0,0,0.0,0.0,1,0,3,1,3,6,0,Attchd,1,1.0,276.0,0,80,0,0,0,5,2007
672,113000,30,RL,9340,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,4,6,1941,1950,Hip,CompShg,MetalSd,MetalSd,None,0.0,3,3,CBlock,3,3,1,3,344.0,1,0.0,328.0,672.0,GasA,3,Y,672,0,0,1.0,0.0,1,0,2,1,3,4,0,Attchd,1,1.0,234.0,0,113,0,0,0,8,2009
1664,159000,50,RM,5000,Pave,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Feedr,Norm,1Fam,1.5Fin,6,7,1947,1950,Gable,CompShg,CemntBd,CmentBd,None,0.0,3,4,CBlock,3,3,1,5,399.0,1,0.0,605.0,1004.0,GasA,5,Y,1004,660,0,0.0,0.0,2,0,3,1,3,7,2,Detchd,1,2.0,420.0,0,24,36,0,0,10,2006
1218,159000,20,RL,9605,Pave,Reg,Lvl,AllPub,Corner,Gtl,SawyerW,Norm,Norm,1Fam,1Story,7,6,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4,3,1,1,0.0,1,0.0,1218.0,1218.0,GasA,5,Y,1218,0,0,0.0,0.0,1,1,3,1,4,6,0,Detchd,2,2.0,576.0,0,178,0,0,0,4,2009
1622,168000,190,RL,32463,Pave,Reg,Low,AllPub,Inside,Mod,Mitchel,Norm,Norm,2fmCon,1Story,4,4,1961,1975,Gable,CompShg,MetalSd,MetalSd,Stone,149.0,3,4,CBlock,3,3,3,4,1159.0,1,0.0,90.0,1249.0,GasA,5,Y,1622,0,0,1.0,0.0,1,0,3,1,3,7,1,2Types,3,4.0,1356.0,439,0,0,0,0,3,2007
900,122000,20,RL,9819,Pave,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1967,1967,Gable,CompShg,MetalSd,MetalSd,BrkFace,31.0,3,4,CBlock,3,3,1,4,450.0,1,0.0,432.0,882.0,GasA,3,Y,900,0,0,0.0,0.0,1,0,3,1,3,5,0,Detchd,1,1.0,280.0,0,0,0,0,0,2,2010
1740,122250,50,RM,7308,Pave,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,5,5,1920,1950,Gable,CompShg,WdShing,Wd Shng,None,0.0,2,2,BrkTil,3,3,1,3,360.0,1,0.0,576.0,936.0,GasA,4,N,960,780,0,0.0,0.0,1,0,2,1,5,6,1,Detchd,1,1.0,225.0,0,0,236,0,0,6,2008
1027,120000,30,RM,5400,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,7,6,1920,2006,Gable,CompShg,Stucco,Stucco,None,0.0,4,3,CBlock,3,3,1,1,0.0,1,0.0,931.0,931.0,GasA,3,Y,1027,0,0,0.0,1.0,1,0,2,1,4,5,1,0,0,0.0,0.0,0,28,0,0,0,2,2008
2649,421250,60,RL,16900,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2001,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,1110.0,4,3,PConc,5,3,2,6,1075.0,1,0.0,404.0,1479.0,GasA,5,Y,1515,1134,0,1.0,0.0,2,1,4,1,4,10,1,Attchd,3,3.0,746.0,0,60,0,0,0,1,2008
1290,106900,70,RM,5870,Pave,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Feedr,Feedr,1Fam,2Story,6,9,1900,2000,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,4,BrkTil,3,3,1,1,0.0,1,0.0,554.0,554.0,GasA,5,Y,736,554,0,0.0,0.0,1,1,3,1,3,6,0,Detchd,1,1.0,200.0,38,112,0,0,0,4,2008
1220,194000,20,RL,7406,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,Stone,84.0,4,3,PConc,4,3,3,6,684.0,1,0.0,515.0,1199.0,GasA,5,Y,1220,0,0,1.0,0.0,2,0,2,1,4,6,0,Attchd,2,2.0,632.0,105,54,0,0,0,7,2006
